Generating traffic for Heart Disease API...
Request 1: Prediction=Disease Present, Risk=High
Request 2: Prediction=Disease Present, Risk=Moderate
Request 3: Prediction=Disease Present, Risk=Very High
Request 4: Prediction=Disease Present, Risk=Moderate
Request 5: Prediction=Disease Present, Risk=Moderate
Request 6: Prediction=Disease Present, Risk=High
Request 7: Prediction=Disease Present, Risk=High
Request 8: Prediction=No Disease, Risk=Low
Request 9: Prediction=No Disease, Risk=Moderate
Request 10: Prediction=Disease Present, Risk=Moderate
Request 11: Prediction=Disease Present, Risk=High
Request 12: Prediction=Disease Present, Risk=High
Request 13: Prediction=No Disease, Risk=Moderate
Request 14: Prediction=Disease Present, Risk=Very High
Request 15: Prediction=No Disease, Risk=Moderate
Request 16: Prediction=Disease Present, Risk=High
Request 17: Prediction=Disease Present, Risk=High
Request 18: Prediction=No Disease, Risk=Moderate
Request 19: Prediction=Disease Present, Risk=High
Request 20: Prediction=Disease Present, Risk=High
Request 21: Prediction=Disease Present, Risk=Moderate
Request 22: Prediction=Disease Present, Risk=Very High
Request 23: Prediction=No Disease, Risk=Moderate
Request 24: Prediction=Disease Present, Risk=High
Request 25: Prediction=Disease Present, Risk=Moderate
Request 26: Prediction=Disease Present, Risk=High
Request 27: Prediction=Disease Present, Risk=High
Request 28: Prediction=Disease Present, Risk=High
Request 29: Prediction=Disease Present, Risk=High
Request 30: Prediction=Disease Present, Risk=High
Request 31: Prediction=Disease Present, Risk=Very High
Request 32: Prediction=No Disease, Risk=Moderate
Request 33: Prediction=Disease Present, Risk=Moderate
Request 34: Prediction=Disease Present, Risk=High
Request 35: Prediction=Disease Present, Risk=Moderate
Request 36: Prediction=Disease Present, Risk=High
Request 37: Prediction=Disease Present, Risk=Very High
Request 38: Prediction=No Disease, Risk=Low
Request 39: Prediction=Disease Present, Risk=High
Request 40: Prediction=Disease Present, Risk=High
Request 41: Prediction=Disease Present, Risk=Very High
Request 42: Prediction=Disease Present, Risk=Moderate
Request 43: Prediction=Disease Present, Risk=Very High
Request 44: Prediction=Disease Present, Risk=High
Request 45: Prediction=Disease Present, Risk=Very High
Request 46: Prediction=Disease Present, Risk=Moderate
Request 47: Prediction=Disease Present, Risk=High
Request 48: Prediction=No Disease, Risk=Moderate
Request 49: Prediction=Disease Present, Risk=High
Request 50: Prediction=Disease Present, Risk=High
Request 51: Prediction=No Disease, Risk=Moderate
Request 52: Prediction=Disease Present, Risk=High
Request 53: Prediction=Disease Present, Risk=Very High
Request 54: Prediction=No Disease, Risk=Moderate
Request 55: Prediction=Disease Present, Risk=Moderate
Request 56: Prediction=Disease Present, Risk=High
Request 57: Prediction=Disease Present, Risk=High
Request 58: Prediction=No Disease, Risk=Low
Request 59: Prediction=Disease Present, Risk=Very High
Request 60: Prediction=Disease Present, Risk=High
Request 61: Prediction=Disease Present, Risk=High
Request 62: Prediction=Disease Present, Risk=High
Request 63: Prediction=Disease Present, Risk=High
Request 64: Prediction=Disease Present, Risk=Moderate
Request 65: Prediction=Disease Present, Risk=High
Request 66: Prediction=No Disease, Risk=Moderate
Request 67: Prediction=Disease Present, Risk=High
Request 68: Prediction=Disease Present, Risk=High
Request 69: Prediction=Disease Present, Risk=Very High
Request 70: Prediction=No Disease, Risk=Moderate
Request 71: Prediction=Disease Present, Risk=High
Request 72: Prediction=Disease Present, Risk=High
Request 73: Prediction=Disease Present, Risk=High
Request 74: Prediction=No Disease, Risk=Moderate
Request 75: Prediction=No Disease, Risk=Moderate
Request 76: Prediction=Disease Present, Risk=Moderate
Request 77: Prediction=Disease Present, Risk=High
Request 78: Prediction=No Disease, Risk=Moderate
Request 79: Prediction=Disease Present, Risk=Moderate
Request 80: Prediction=Disease Present, Risk=High
Request 81: Prediction=Disease Present, Risk=High
Request 82: Prediction=Disease Present, Risk=High
Request 83: Prediction=Disease Present, Risk=Very High
Request 84: Prediction=Disease Present, Risk=Very High
Request 85: Prediction=Disease Present, Risk=Very High
Request 86: Prediction=Disease Present, Risk=High
Request 87: Prediction=Disease Present, Risk=Moderate
Request 88: Prediction=Disease Present, Risk=High
Request 89: Prediction=Disease Present, Risk=High
Request 90: Prediction=Disease Present, Risk=High
Request 91: Prediction=Disease Present, Risk=High
Request 92: Prediction=Disease Present, Risk=Very High
Request 93: Prediction=No Disease, Risk=Moderate
Request 94: Prediction=Disease Present, Risk=Moderate
Request 95: Prediction=Disease Present, Risk=High
Request 96: Prediction=Disease Present, Risk=Very High
Request 97: Prediction=Disease Present, Risk=Moderate
Request 98: Prediction=Disease Present, Risk=Very High
Request 99: Prediction=Disease Present, Risk=Very High
Request 100: Prediction=Disease Present, Risk=High
Request 101: Prediction=Disease Present, Risk=Very High
Request 102: Prediction=Disease Present, Risk=Very High
Request 103: Prediction=No Disease, Risk=Moderate
Request 104: Prediction=Disease Present, Risk=Very High
Request 105: Prediction=Disease Present, Risk=Moderate
Request 106: Prediction=Disease Present, Risk=High
Request 107: Prediction=Disease Present, Risk=High
Request 108: Prediction=Disease Present, Risk=High
Request 109: Prediction=No Disease, Risk=Low
Request 110: Prediction=Disease Present, Risk=High
Request 111: Prediction=No Disease, Risk=Moderate
Request 112: Prediction=Disease Present, Risk=Very High
Request 113: Prediction=Disease Present, Risk=Moderate
Request 114: Prediction=Disease Present, Risk=Very High
Request 115: Prediction=Disease Present, Risk=High
Request 116: Prediction=Disease Present, Risk=High
Request 117: Prediction=Disease Present, Risk=High
Request 118: Prediction=Disease Present, Risk=High
Request 119: Prediction=Disease Present, Risk=Very High
Request 120: Prediction=Disease Present, Risk=Very High
Request 121: Prediction=Disease Present, Risk=High
Request 122: Prediction=Disease Present, Risk=High
Request 123: Prediction=Disease Present, Risk=High
Request 124: Prediction=No Disease, Risk=Moderate
Request 125: Prediction=Disease Present, Risk=Moderate
Request 126: Prediction=No Disease, Risk=Moderate
Request 127: Prediction=Disease Present, Risk=High
Request 128: Prediction=No Disease, Risk=Moderate
Request 129: Prediction=Disease Present, Risk=High
Request 130: Prediction=Disease Present, Risk=High
Request 131: Prediction=Disease Present, Risk=High
Request 132: Prediction=Disease Present, Risk=Very High
Request 133: Prediction=Disease Present, Risk=Moderate
Request 134: Prediction=Disease Present, Risk=Very High
Request 135: Prediction=Disease Present, Risk=High
Request 136: Prediction=Disease Present, Risk=High
Request 137: Prediction=Disease Present, Risk=High
Request 138: Prediction=Disease Present, Risk=High
Request 139: Prediction=No Disease, Risk=Moderate
Request 140: Prediction=Disease Present, Risk=High
Request 141: Prediction=Disease Present, Risk=High
Request 142: Prediction=Disease Present, Risk=Very High
Request 143: Prediction=Disease Present, Risk=Very High
Request 144: Prediction=No Disease, Risk=Low
Request 145: Prediction=Disease Present, Risk=Moderate
Request 146: Prediction=No Disease, Risk=Moderate
Request 147: Prediction=Disease Present, Risk=Very High
Request 148: Prediction=No Disease, Risk=Moderate
Request 149: Prediction=Disease Present, Risk=Moderate
Request 150: Prediction=Disease Present, Risk=High
Request 151: Prediction=Disease Present, Risk=Very High
Request 152: Prediction=Disease Present, Risk=High
Request 153: Prediction=Disease Present, Risk=Very High
Request 154: Prediction=Disease Present, Risk=High
Request 155: Prediction=Disease Present, Risk=Moderate
Request 156: Prediction=Disease Present, Risk=High
Request 157: Prediction=Disease Present, Risk=Very High
Request 158: Prediction=Disease Present, Risk=High
Request 159: Prediction=Disease Present, Risk=Very High
Request 160: Prediction=Disease Present, Risk=High
Request 161: Prediction=Disease Present, Risk=Very High
Request 162: Prediction=Disease Present, Risk=Very High
Request 163: Prediction=Disease Present, Risk=Very High
Request 164: Prediction=Disease Present, Risk=Very High
Request 165: Prediction=Disease Present, Risk=Very High
Request 166: Prediction=No Disease, Risk=Moderate
Request 167: Prediction=Disease Present, Risk=Moderate
Request 168: Prediction=Disease Present, Risk=Very High
Request 169: Prediction=Disease Present, Risk=Moderate
Request 170: Prediction=Disease Present, Risk=High
Request 171: Prediction=Disease Present, Risk=High
Request 172: Prediction=No Disease, Risk=Moderate
Request 173: Prediction=Disease Present, Risk=Very High
Request 174: Prediction=Disease Present, Risk=High
